Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
22-09-2020,TCS,2465.3,2485,2555,2458,2527,2522.95,2513.02,,1.88475E+15,227930,1600955,0.2135
23-09-2020,TCS,2522.95,2510,2519.85,2409,2461.05,2467.45,,7503152,1.85079E+15,255912,,0.292
24-09-2020,TCS,2467.45,2450,2450,,2332.9,2332.25,2355.03,,1.98414E+15,304819,2896527,0.3438
25-09-2020,TCS,2332.25,2368,2440,2352.1,2417.75,2422.3,2412.24,8228297,1.98486E+15,267956,1785457,0.217
28-09-2020,TCS,2422.3,2440,2444,2366,2429,,2403.73,4347177,1.04495E+15,173323,836214,0.1924
29-09-2020,TCS,2426.3,2434.85,2511.05,2426.3,2486.75,2488.4,2489.18,,1.74138E+15,235653,1430697,0.2045
30-09-2020,TCS,2488.4,2489,2505,2460,2483,2492.3,2485.2,3917186,9.73499E+14,133456,1499169,0.3827
01-10-2020,TCS,2492.3,2510,2540,2492.3,2540,2523.45,2508.29,2610338,6.54748E+14,103469,747931,0.2865
,TCS,2523.45,2620,2728.1,2603.05,2713.95,2705.8,2670.27,17412119,4.64951E+15,495784,2477947,0.1423
06-10-2020,TCS,2705.8,2736,2736,,,2714.3,2688.29,9846376,2.64699E+15,308149,1890863,0.192
07-10-2020,TCS,2714.3,2742,2770,2703,2752.8,2735.95,2728.88,9656167,2.63506E+15,306556,2543041,0.2634
08-10-2020,TCS,2735.95,,2885,,2818.45,,2855.52,19839826,5.66531E+15,542541,2925398,0.1475
09-10-2020,TCS,2825.7,2810,,2780,2811,2812.95,2804.8,7739375,2.17074E+15,239979,2016789,
12-10-2020,TCS,2812.95,2815.5,2854,2800.75,2826.15,2830,2832.22,4623211,1.30939E+15,164934,1359019,0.294
13-10-2020,TCS,2830,2845,2854.9,,2830.5,2826.55,2834.44,,1.19327E+15,156554,1335928,0.3173
14-10-2020,TCS,2826.55,2842,2842,2787.55,2810,2809.6,2808.82,4395979,1.23475E+15,,1813426,0.4125
15-10-2020,TCS,2809.6,2811,2827.75,2727,,2740.6,2757.66,6629395,1.82816E+15,190209,,0.4601
,TCS,2740.6,2750.1,2771.65,2731.3,2757,,2756.34,5273773,1.45363E+15,111405,2268743,0.4302
19-10-2020,TCS,2763.3,2774,2774,2706.6,2714.8,2711.55,2723.63,3331194,9.07295E+14,151449,1370233,0.4113
20-10-2020,TCS,2711.55,2725,,2717.95,2739,,2743.85,3406298,9.34638E+14,137012,1402392,0.4117
21-10-2020,TCS,2739,2739,2749,2663.05,2678,2675.4,2700.88,4570175,1.23435E+15,207866,2385821,0.522
22-10-2020,TCS,2675.4,2661,2686.65,2638.1,2672.9,2671.15,2664.97,5262311,1.40239E+15,167510,2554936,0.4855
23-10-2020,TCS,2671.15,,2702,2670.1,2687,2686.8,2687.39,3499372,9.40418E+14,,1911506,0.5462
